Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",0,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16461,,,730
"BAY LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16462,,,730
"BLACK PEPPER, CRACKED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16545,,,1095
"BLACK PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16546,,,1095
"BLACK PEPPER, WHOLE PEPPERCORNS, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16547,,,1095
"CAJUN SEASONING BLEND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16661,,,730
"CARAWAY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16684,,,1095
"CARDAMOM SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16685,,,1095
"CARDAMOM, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16686,,,1095
"CAYENNE PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16724,,,1095
"CELERY FLAKES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16730,,,730
"CELERY SALT, COMMERCIALLY BOTTLED OR PACKAGED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16731,,,730
"CELERY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16732,,,1095
"ALLSPICE, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16337,,,1095
"ALLSPICE, WHOLE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16338,,,1095
"ALMOND EXTRACT, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16339,,,1095
"ALUM, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16346,,,730
"ANISE EXTRACT, PURE, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16361,,,1095
"ANISE SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16363,,,1095
"APPLE PIE SPICE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16380,,,730
"ARROWROOT POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16412,,,1095
"BANANA EXTRACT, IMITATION, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16446,,,1095
BASIL ,,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16458,,150,8
"BASIL LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16459,,,730
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",1,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16460,730,,
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",0,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16461,,,730
"BAY LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16462,,,730
"BLACK PEPPER, CRACKED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16545,,,1095
"BLACK PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16546,,,1095
"BLACK PEPPER, WHOLE PEPPERCORNS, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16547,,,1095
"CAJUN SEASONING BLEND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16661,,,730
"CARAWAY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16684,,,1095
"CARDAMOM SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16685,,,1095
"CARDAMOM, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16686,,,1095
"CAYENNE PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16724,,,1095
"CELERY FLAKES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16730,,,730
"CELERY SALT, COMMERCIALLY BOTTLED OR PACKAGED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16731,,,730
"CELERY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16732,,,1095
"ALLSPICE, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16337,,,1095
"ALLSPICE, WHOLE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16338,,,1095
"ALMOND EXTRACT, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16339,,,1095
"ALUM, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16346,,,730
"ANISE EXTRACT, PURE, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16361,,,1095
"ANISE SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16363,,,1095
"APPLE PIE SPICE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16380,,,730
"ARROWROOT POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16412,,,1095
"BANANA EXTRACT, IMITATION, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16446,,,1095
BASIL ,,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16458,,150,8
"BASIL LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16459,,,730
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",1,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16460,730,,
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",0,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16461,,,730
"BAY LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16462,,,730
"BLACK PEPPER, CRACKED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16545,,,1095
"BLACK PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16546,,,1095
"BLACK PEPPER, WHOLE PEPPERCORNS, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16547,,,1095
"CAJUN SEASONING BLEND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16661,,,730
"CARAWAY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16684,,,1095
"CARDAMOM SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16685,,,1095
"CARDAMOM, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16686,,,1095
"CAYENNE PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16724,,,1095
"CELERY FLAKES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16730,,,730
"CELERY SALT, COMMERCIALLY BOTTLED OR PACKAGED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16731,,,730
"CELERY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16732,,,1095
"ALLSPICE, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16337,,,1095
"ALLSPICE, WHOLE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16338,,,1095
"ALMOND EXTRACT, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16339,,,1095
"ALUM, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16346,,,730
"ANISE EXTRACT, PURE, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16361,,,1095
"ANISE SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16363,,,1095
"APPLE PIE SPICE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16380,,,730
"ARROWROOT POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16412,,,1095
"BANANA EXTRACT, IMITATION, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16446,,,1095
BASIL ,,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16458,,150,8
"BASIL LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16459,,,730
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",1,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16460,730,,
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",0,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16461,,,730
"BAY LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16462,,,730
"BLACK PEPPER, CRACKED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16545,,,1095
"BLACK PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16546,,,1095
"BLACK PEPPER, WHOLE PEPPERCORNS, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16547,,,1095
"CAJUN SEASONING BLEND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16661,,,730
"CARAWAY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16684,,,1095
"CARDAMOM SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16685,,,1095
"CARDAMOM, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16686,,,1095
"CAYENNE PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16724,,,1095
"CELERY FLAKES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16730,,,730
"CELERY SALT, COMMERCIALLY BOTTLED OR PACKAGED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16731,,,730
"CELERY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16732,,,1095
"ALLSPICE, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16337,,,1095
"ALLSPICE, WHOLE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16338,,,1095
"ALMOND EXTRACT, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16339,,,1095
"ALUM, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16346,,,730
"ANISE EXTRACT, PURE, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16361,,,1095
"ANISE SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16363,,,1095
"APPLE PIE SPICE, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16380,,,730
"ARROWROOT POWDER, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16412,,,1095
"BANANA EXTRACT, IMITATION, COMMERCIALLY BOTTLED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16446,,,1095
BASIL ,,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16458,,150,8
"BASIL LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16459,,,730
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",1,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16460,730,,
"BASIL, COMMERCIALLY BOTTLED (NOT DRIED), SOLD UNREFRIGERATED ",0,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16461,,,730
"BAY LEAVES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16462,,,730
"BLACK PEPPER, CRACKED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16545,,,1095
"BLACK PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16546,,,1095
"BLACK PEPPER, WHOLE PEPPERCORNS, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16547,,,1095
"CAJUN SEASONING BLEND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16661,,,730
"CARAWAY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16684,,,1095
"CARDAMOM SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16685,,,1095
"CARDAMOM, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16686,,,1095
"CAYENNE PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16724,,,1095
"CELERY FLAKES, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16730,,,730
"CELERY SALT, COMMERCIALLY BOTTLED OR PACKAGED ",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16731,,,730
"CELERY SEED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK — UNOPENED OR OPENED",,Herbs & Spices,https://www.stilltasty.com/Fooditems/index/16732,,,1095
