Name,isOpened,Food_Group,Link,Fridge,Freezer,Pantry
"ALMOND MILK, SOLD UNREFRIGERATED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19074,8,,
"ALMOND MILK, SOLD UNREFRIGERATED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19075,,,21
"AMARETTO, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/16347,,,
"ANISE LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16362,,,
"APPLE CIDER, SOLD IN REFRIGERATED CARTON OR BOTTLE ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19091,8,300,
"APPLE CIDER, SOLD IN REFRIGERATED CARTON OR BOTTLE ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19092,7,300,
"ARMAGNAC, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/16411,,,
"BANANA LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16447,,,
"BEER, REGULAR OR LIGHT,  BOTTLES OR CANS ",1,Beverages,https://www.stilltasty.com/Fooditems/index/16511,1,,
"BEER, REGULAR OR LIGHT,  BOTTLES OR CANS ",0,Beverages,https://www.stilltasty.com/Fooditems/index/16512,210,,150
BLOODY MARY MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/16571,21,,
BLOODY MARY MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/16572,,,450
"BOURBON, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16597,,,
"BRANDY, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16610,,,
"BREAKFAST BEVERAGE MIX, INSTANT, POWDERED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/16622,,,180
"CALVADOS, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16664,,,
"CASHEW MILK, SOLD IN REFRIGERATED CARTON ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19072,8,,
"CASHEW MILK, SOLD IN REFRIGERATED CARTON ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19073,7,,
CHAMPAGNE ,,Beverages,https://www.stilltasty.com/Fooditems/index/16735,4,150,
"CHAMPAGNE, NON",,Beverages,https://www.stilltasty.com/Fooditems/index/16736,,,1095
"CHAMPAGNE, VINTAGE ",,Beverages,https://www.stilltasty.com/Fooditems/index/16737,,,3650
" ICED TEA (ICE TEA), READY TO DRINK, SOLD UNREFRIGERATED, COMMERCIALLY BOTTLED OR CANNED — UNOPENED ",,Beverages,https://www.stilltasty.com/Fooditems/index/19028,,,630
"ALMOND LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16340,,,
"ALMOND MILK, SOLD IN REFRIGERATED CARTON ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19066,8,,
"ALMOND MILK, SOLD IN REFRIGERATED CARTON ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19067,7,,
"ALMOND MILK, SOLD UNREFRIGERATED ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19074,8,,
"ALMOND MILK, SOLD UNREFRIGERATED ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19075,,,21
"AMARETTO, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/16347,,,
"ANISE LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16362,,,
"APPLE CIDER, SOLD IN REFRIGERATED CARTON OR BOTTLE ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19091,8,300,
"APPLE CIDER, SOLD IN REFRIGERATED CARTON OR BOTTLE ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19092,7,300,
"ARMAGNAC, COMMERCIALLY BOTTLED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/16411,,,
"BANANA LIQUEUR, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16447,,,
"BEER, REGULAR OR LIGHT,  BOTTLES OR CANS ",1,Beverages,https://www.stilltasty.com/Fooditems/index/16511,1,,
"BEER, REGULAR OR LIGHT,  BOTTLES OR CANS ",0,Beverages,https://www.stilltasty.com/Fooditems/index/16512,210,,150
BLOODY MARY MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/16571,21,,
BLOODY MARY MIX (NON,,Beverages,https://www.stilltasty.com/Fooditems/index/16572,,,450
"BOURBON, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16597,,,
"BRANDY, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16610,,,
"BREAKFAST BEVERAGE MIX, INSTANT, POWDERED — UNOPENED OR OPENED",,Beverages,https://www.stilltasty.com/Fooditems/index/16622,,,180
"CALVADOS, COMMERCIALLY BOTTLED ",,Beverages,https://www.stilltasty.com/Fooditems/index/16664,,,
"CASHEW MILK, SOLD IN REFRIGERATED CARTON ",1,Beverages,https://www.stilltasty.com/Fooditems/index/19072,8,,
"CASHEW MILK, SOLD IN REFRIGERATED CARTON ",0,Beverages,https://www.stilltasty.com/Fooditems/index/19073,7,,
CHAMPAGNE ,,Beverages,https://www.stilltasty.com/Fooditems/index/16735,4,150,
"CHAMPAGNE, NON",,Beverages,https://www.stilltasty.com/Fooditems/index/16736,,,1095
"CHAMPAGNE, VINTAGE ",,Beverages,https://www.stilltasty.com/Fooditems/index/16737,,,3650
