Label,Link,Fridge,Freezer,Pantry
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18966,,,2 years (best quality)
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18803,6-9 months (best quality),,
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18804,,,12-18 months (best quality)
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - OPENED",https://www.stilltasty.com/Fooditems/index/16679,1 year (best quality),,
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - UNOPENED",https://www.stilltasty.com/Fooditems/index/16680,,,3 years (best quality)
CHEESE SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18768,3-4 days,4-6 months,
"CHILI SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16819,6-9 months (best quality),,1 month (best quality)
"CHILI SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16820,,,12-18 months (best quality)
"CHINESE MUSTARD, SOLD IN TUBE — OPENED",https://www.stilltasty.com/Fooditems/index/16841,12 months,,
"CHINESE MUSTARD, SOLD IN TUBE — UNOPENED",https://www.stilltasty.com/Fooditems/index/16842,,,12 months
ALFREDO SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18767,3-4 days,4-6 months,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - OPENED",https://www.stilltasty.com/Fooditems/index/16353,12 months,,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16354,,,18 months
"APPLE BUTTER, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16367,1 year,,
"APPLE BUTTER, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16368,,,2 years
"BALSAMIC VINAIGRETTE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18799,6-9 months (best quality),,
"BALSAMIC VINAIGRETTE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18800,,,12-18 months (best quality)
"BARBECUE SAUCE (BBQ SAUCE), COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16454,6-9 months (best quality),,1 month (best quality)
"BARBECUE SAUCE (BBQ SAUCE), COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16455,,,12-18 months (best quality)
"BLACK BEAN SAUCE, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16539,2 years,,
"BLACK BEAN SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16540,,,3 years (best quality)
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18801,6-9 months (best quality),,
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18802,,,12-18 months (best quality)
"BOUILLON CUBES OR GRANULES, ALL TYPES (INCLUDING BEEF, CHICKEN, TURKEY, VEGETABLE, FISH) — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16596,,,2 years (best quality)
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18961,1 year (best quality),,
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18966,,,2 years (best quality)
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18803,6-9 months (best quality),,
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18804,,,12-18 months (best quality)
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - OPENED",https://www.stilltasty.com/Fooditems/index/16679,1 year (best quality),,
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - UNOPENED",https://www.stilltasty.com/Fooditems/index/16680,,,3 years (best quality)
CHEESE SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18768,3-4 days,4-6 months,
"CHILI SAUCE, COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16819,6-9 months (best quality),,1 month (best quality)
"CHILI SAUCE, COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16820,,,12-18 months (best quality)
"CHINESE MUSTARD, SOLD IN TUBE — OPENED",https://www.stilltasty.com/Fooditems/index/16841,12 months,,
"CHINESE MUSTARD, SOLD IN TUBE — UNOPENED",https://www.stilltasty.com/Fooditems/index/16842,,,12 months
ALFREDO SAUCE - HOMEMADE,https://www.stilltasty.com/Fooditems/index/18767,3-4 days,4-6 months,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - OPENED",https://www.stilltasty.com/Fooditems/index/16353,12 months,,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16354,,,18 months
"APPLE BUTTER, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16367,1 year,,
"APPLE BUTTER, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16368,,,2 years
"BALSAMIC VINAIGRETTE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18799,6-9 months (best quality),,
"BALSAMIC VINAIGRETTE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18800,,,12-18 months (best quality)
"BARBECUE SAUCE (BBQ SAUCE), COMMERCIALLY BOTTLED - OPENED",https://www.stilltasty.com/Fooditems/index/16454,6-9 months (best quality),,1 month (best quality)
"BARBECUE SAUCE (BBQ SAUCE), COMMERCIALLY BOTTLED - UNOPENED",https://www.stilltasty.com/Fooditems/index/16455,,,12-18 months (best quality)
"BLACK BEAN SAUCE, COMMERCIALLY BOTTLED — OPENED",https://www.stilltasty.com/Fooditems/index/16539,2 years,,
"BLACK BEAN SAUCE, COMMERCIALLY BOTTLED — UNOPENED",https://www.stilltasty.com/Fooditems/index/16540,,,3 years (best quality)
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18801,6-9 months (best quality),,
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18802,,,12-18 months (best quality)
"BOUILLON CUBES OR GRANULES, ALL TYPES (INCLUDING BEEF, CHICKEN, TURKEY, VEGETABLE, FISH) — UNOPENED OR OPENED PACKAGE",https://www.stilltasty.com/Fooditems/index/16596,,,2 years (best quality)
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18961,1 year (best quality),,
"BREAD AND BUTTER PICKLES, COMMERCIALLY JARRED, SOLD UNREFRIGERATED — UNOPENED",https://www.stilltasty.com/Fooditems/index/18966,,,2 years (best quality)
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",https://www.stilltasty.com/Fooditems/index/18803,6-9 months (best quality),,
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",https://www.stilltasty.com/Fooditems/index/18804,,,12-18 months (best quality)
"CAPERS, COMMERCIALLY  BOTTLED AND PACKED IN BRINE - OPENED",https://www.stilltasty.com/Fooditems/index/16679,1 year (best quality),,
