PLU,Name,Pantry,Fridge,Freezer
4514,Alfalfa Sprouts,5,8,30
4924,Almonds,21,270,360
4925,Retailer Assigned Almonds,21,270,360
3064,Aloe Vera Leaves,5,8,30
3463,Amaranth/Callaloo/Een Choy,5,8,30
3338,Anise,5,8,30
4860,Dried Apple Slices,5,8,30
3000,Alkmene Apples,6,30,330
3001,Small Aurora/Southern Rose Apples,6,30,330
3002,Cantared Apples,6,30,330
3003,D'Estivale Apples,6,30,330
3004,Discovery Apples,6,30,330
3005,Golden Delicious Blush Apples,6,30,330
3006,Ingrid Marie Apples,6,30,330
3007,Lochbuie Apples,6,30,330
3008,Rubinette Apples,6,30,330
3009,Russet Apples,6,30,330
3010,Small Cripps Red Apples,6,30,330
3011,Worcester Apples,6,30,330
3065,Small Cameo Apples,6,30,330
3066,Large Cameo Apples,6,30,330
3067,Small Swiss Gourmet Apples,6,30,330
3068,Large Swiss Gourmet Apples,6,30,330
3069,"Small Gravenstein, Red Apples",6,30,330
3070,"Large Gravenstein, Red Apples",6,30,330
3071,"Granny Smith, Red Apples",6,30,330
3072,Lady Apples,6,30,330
3073,Macoun Apples,6,30,330
3074,Greening (Ri) Apples,6,30,330
3075,Baldwin Apples,6,30,330
3076,Melrose Apples,6,30,330
3077,Northern Spy Apples,6,30,330
3078,Liberty Apples,6,30,330
3104,Roho 3615 Apples,6,30,330
3271,Virginia Gold Apples,6,30,330
3272,Sommerfeld Apples,6,30,330
3283,Large Honeycrisp Apples,6,30,330
3284,Extra-Large Red Delicious Apples,6,30,330
3285,Extra-Large Golden Delicious Apples,6,30,330
3290,Large Aurora/Southern Rose Apples,6,30,330
3291,Small Boskoop/Belle De Boskoop Apples,6,30,330
3292,Large Boskoop/Belle De Boskoop Apples,6,30,330
3293,Small Scifresh Apples,6,30,330
3294,Large Scifresh Apples,6,30,330
3295,Small Sciearly Apples,6,30,330
3296,Large Sciearly Apples,6,30,330
3297,Scired Apples,6,30,330
3298,Redfield Apples,6,30,330
3299,Small Sonya Apples,6,30,330
3300,Large Sonya Apples,6,30,330
3301,Large Cripps Red Apples,6,30,330
3315,Small Scilate Apples,6,30,330
3339,Belchard - Chantecler Apples,6,30,330
3340,Bertanne/Golden Russet Apples,6,30,330
3341,Charles Ross Apples,6,30,330
3342,Delblush Apples,6,30,330
3343,Dessert Apples,6,30,330
3344,Small Gloster Apples,6,30,330
3345,Large Gloster Apples,6,30,330
3346,Holstein Apples,6,30,330
3347,Laxtons Fortune Apples,6,30,330
3348,Lord Lambourne Apples,6,30,330
3349,Michaelmas Red Apples,6,30,330
3350,Small Reine Des Reinettes/King Of The Pippins Apples,6,30,330
3351,Large Reine Des Reinettes/King Of The Pippins Apples,6,30,330
3352,Canada Blanc Reinette Du Mans Apples,6,30,330
3353,St Edmunds Pippin Apples,6,30,330
3435,Pinova Apples,6,30,330
3438,Ambrosia Apples,6,30,330
3442,New York 1 Apples,6,30,330
3443,New York 2 Apples,6,30,330
3444,Green Dragon Apples,6,30,330
3445,Ds 3 Apples,6,30,330
3447,Ds 22 Apples,6,30,330
3460,Red Jonaprince Apples,6,30,330
3461,Lady Williams Apples,6,30,330
3467,Regal 13-82 Apples,6,30,330
3468,Small Honeycrisp Apples,6,30,330
3484,Dalinette Apples,6,30,330
3486,Cn121 Apples,6,30,330
3487,Mn 55 Apples,6,30,330
3490,Maia 1 Apples,6,30,330
3507,Wa 38 Apples,6,30,330
3510,Small Ambrosia Apples,6,30,330
3511,Wa 2 Apples,6,30,330
3513,Shinano Gold Apples,6,30,330
3514,Fengapi Apples,6,30,330
3515,Small Prema 153 Apples,6,30,330
3516,Large Prema 153 Apples,6,30,330
3519,R10-45 Apples,6,30,330
3521,Regal D5-100 Apples,6,30,330
3523,Sq 159 Apples,6,30,330
3525,Small Cn121 Apples,6,30,330
3526,Howell Tc2 Apples,6,30,330
3527,Howell Tc3 Apples,6,30,330
3528,Regal D17-121 Apples,6,30,330
3529,Prema 129 Apples,6,30,330
3537,Maia-L Apples,6,30,330
3538,Ipador Apples,6,30,330
3539,Ifored Y Series Apples,6,30,330
3540,Ifored R Series Apples,6,30,330
3541,Civm49 Apples,6,30,330
3542,Regal D27-16 Apples,6,30,330
3600,Antares Apples,6,30,330
3601,Huaguan Apples,6,30,330
3602,Belgica Apples,6,30,330
3603,Minneiska Apples,6,30,330
3604,Emmons Apples,6,30,330
3605,Nicoter Apples,6,30,330
3607,Mariri Red Apples,6,30,330
3608,Large Sciros Apples,6,30,330
3612,Nicogreen Apples,6,30,330
3613,Fuji Brak Apples,6,30,330
3615,Civni Apples,6,30,330
3616,Large Scilate Apples,6,30,330
3618,Opal Apples,6,30,330
3619,Milwa Apples,6,30,330
3620,Plumac Apples,6,30,330
3625,Minnewashta Apples,6,30,330
3627,Large Prema17 Apples,6,30,330
3628,Prema280 Apples,6,30,330
3629,Civg198 Apples,6,30,330
3630,Co-Op 43 Apples,6,30,330
4015,Small Red Delicious Apples,6,30,330
4016,Large Red Delicious Apples,6,30,330
4017,Large Granny Smith Apples,6,30,330
4018,Large Granny Smith Apples,6,30,330
4019,Large Mcintosh Apples,6,30,330
4020,Large Golden Delicious Apples,6,30,330
4021,Small Golden Delicious Apples,6,30,330
4057,Small Haralson Apples,6,30,330
4058,Large Haralson Apples,6,30,330
4096,Large Ginger Gold Apples,6,30,330
4097,Small Ginger Gold Apples,6,30,330
4098,Small Akane Apples,6,30,330
4099,Large Akane Apples,6,30,330
4100,Small Fireside Apples,6,30,330
4101,Small Braeburn Apples,6,30,330
4102,Large Fireside Apples,6,30,330
4103,Large Braeburn Apples,6,30,330
4104,Small Cortland Apples,6,30,330
4105,Cox Orange Pippin Apples,6,30,330
4106,Large Cortland Apples,6,30,330
4107,Crab Apples,6,30,330
4108,Small Crispin/Mutsu Apples,6,30,330
4109,Small Crispin/Mutsu Apples,6,30,330
4110,Large Crispin/Mutsu Apples,6,30,330
4111,Large Crispin/Mutsu Apples,6,30,330
4112,Small Regent Apples,6,30,330
4113,Small Criterion Apples,6,30,330
4114,Large Regent Apples,6,30,330
4115,Large Criterion Apples,6,30,330
4116,Small Early Apples,6,30,330
4117,Small Early Apples,6,30,330
4118,Large Early Apples,6,30,330
4119,Large Early Apples,6,30,330
4120,Fiesta Apples,6,30,330
4121,Small Elstar Apples,6,30,330
4122,Small Sciros Apples,6,30,330
4123,Large Elstar Apples,6,30,330
4124,Small Empire Apples,6,30,330
4125,Small Empire Apples,6,30,330
4126,Large Empire Apples,6,30,330
4127,Large Empire Apples,6,30,330
4128,Small Cripps Pink Apples,6,30,330
4129,Small Fuji Apples,6,30,330
4130,Large Cripps Pink Apples,6,30,330
4131,Large Fuji Apples,6,30,330
4132,Small Gala Apples,6,30,330
4133,Small Gala Apples,6,30,330
4134,Large Gala Apples,6,30,330
4135,Large Gala Apples,6,30,330
4136,Small Golden Delicious Apples,6,30,330
4137,Large Golden Delicious Apples,6,30,330
4138,Small Granny Smith Apples,6,30,330
4139,Small Granny Smith Apples,6,30,330
4140,Small Idared Apples,6,30,330
4141,Small Jonamac Apples,6,30,330
4142,Large Idared Apples,6,30,330
4143,Large Jonamac Apples,6,30,330
4144,Small Jonagold Apples,6,30,330
4145,Small Jonagold Apples,6,30,330
4146,Large Jonagold Apples,6,30,330
4147,Large Jonagold Apples,6,30,330
4148,Small Jonathan Apples,6,30,330
4149,Small Jonathan Apples,6,30,330
4150,Large Jonathan Apples,6,30,330
4151,Large Jonathan Apples,6,30,330
4152,Small Mcintosh Apples,6,30,330
4153,Small Mcintosh Apples,6,30,330
4154,Large Mcintosh Apples,6,30,330
4155,Small Paulared Apples,6,30,330
4156,Small Gravenstein Apples,6,30,330
4157,Large Paulared Apples,6,30,330
4158,Large Gravenstein Apples,6,30,330
4160,Small Pippin Apples,6,30,330
4162,Large Pippin Apples,6,30,330
4167,Small Red Delicious Apples,6,30,330
4168,Large Red Delicious Apples,6,30,330
4169,Small Rome Apples,6,30,330
4170,Small Rome Apples,6,30,330
4171,Large Rome Apples,6,30,330
4172,Large Rome Apples,6,30,330
4173,Small Royal Gala Apples,6,30,330
4174,Large Royal Gala Apples,6,30,330
4176,Southern Snap Apples,6,30,330
4177,Small Spartan Apples,6,30,330
4178,Small Spartan Apples,6,30,330
4179,Large Spartan Apples,6,30,330
4180,Large Spartan Apples,6,30,330
4181,Small Stayman Apples,6,30,330
4182,Sturmer Pippin Apples,6,30,330
4183,Large Stayman Apples,6,30,330
4185,Small York Apples,6,30,330
4187,Large York Apples,6,30,330
4189,Small Winesap Apples,6,30,330
4190,Small Winesap Apples,6,30,330
4191,Large Winesap Apples,6,30,330
4192,Large Winesap Apples,6,30,330
4193,Retailer Assigned Apples,6,30,330
4194,Retailer Assigned Apples,6,30,330
4195,Retailer Assigned Apples,6,30,330
4196,Retailer Assigned Apples,6,30,330
4197,Retailer Assigned Apples,6,30,330
4198,Retailer Assigned Apples,6,30,330
